"index","clusters","cols","inertia","method","rows","silhouette","smooth","diffcurve"
0,20,353,310.0323672048221,"KMeans",1463,0.5908704682115064,310.0323672048221,0.0
1,21,353,296.85730958306,"KMeans",1463,0.5849946982439723,307.6369021826835,-0.005925620836680023
2,22,353,282.75762919326314,"KMeans",1463,0.6075753850749602,303.1133980027889,-0.002058359327060444
3,23,353,267.5577761924013,"KMeans",1463,0.5850883717314216,296.64873949180935,0.010741771632372554
4,24,353,248.61408731730057,"KMeans",1463,0.6213692944631171,287.9151663691713,0.03398307035170778
5,25,353,239.5292906190607,"KMeans",1463,0.6614298190167724,279.11773441460576,0.057518236796906486
6,26,353,230.81474497196606,"KMeans",1463,0.6402124299190066,270.3353726977622,0.08098405251403973
7,27,353,222.07746403888905,"KMeans",1463,0.6397674015891439,261.56120748705797,0.10441214927286313
8,28,353,214.80581605428188,"KMeans",1463,0.6336219518377371,253.06022722655322,0.12658309431700454
9,29,353,208.0661152669346,"KMeans",1463,0.6409120848164195,244.87947959753166,0.14728038204044724
10,30,353,204.1810858653369,"KMeans",1463,0.6508831838418296,237.47977164622347,0.16438345504102536
11,31,353,196.01437628114468,"KMeans",1463,0.6074497577871665,229.94060885257278,0.1821282760370313
12,32,353,194.20566625421787,"KMeans",1463,0.6313982297496562,223.4433465619628,0.19507844416885445
13,33,353,192.35418476318057,"KMeans",1463,0.615633836677591,217.79077168945693,0.2041415012601009
14,34,353,188.06908160949482,"KMeans",1463,0.5925152583637543,212.38682803855468,0.2120603988127847
15,35,353,181.6179943713114,"KMeans",1463,0.596982939638268,206.79249464451047,0.22085543830474452
16,36,353,178.4361406063712,"KMeans",1463,0.5917498600994036,201.63679391030328,0.22763196323348645
17,37,353,171.38743947630508,"KMeans",1463,0.5931292287348692,196.13691128593996,0.2359923559889745
18,38,353,169.84040992081015,"KMeans",1463,0.5941706771983405,191.3557292195527,0.24104540828466536
19,39,353,164.2902362896305,"KMeans",1463,0.6428138668429256,186.4347305050214,0.24674187354592036
20,40,353,162.67653707611677,"KMeans",1463,0.6121734865027915,182.11505897249327,0.24967113110635553
21,41,353,159.55159554420084,"KMeans",1463,0.6140920037890063,178.0126110764401,0.2516007616124285
22,42,353,156.10843484153426,"KMeans",1463,0.6500136274202232,174.03003357918448,0.2529787684756988
23,43,353,153.03208595295345,"KMeans",1463,0.6194563111023912,170.21222491986973,0.2535985365450959
24,44,353,153.0687906193683,"KMeans",1463,0.6059480016635096,167.0952368652331,0.25099324472663254
25,45,353,147.14901859002222,"KMeans",1463,0.5887924047183364,163.46865172428565,0.2507330339618099
26,46,353,143.15591223073142,"KMeans",1463,0.6350372979752712,159.77542636182122,0.2507794904152423
27,47,353,142.6336819294219,"KMeans",1463,0.6013074704733009,156.6587455559304,0.24817278468914106
28,48,353,139.1127657975324,"KMeans",1463,0.6041957522099445,153.46856741803984,0.24590430146351283
29,49,353,132.7884495585235,"KMeans",1463,0.6406663192370943,149.70854598903688,0.2462581423080752
30,50,353,135.3357260230054,"KMeans",1463,0.6056624884204063,147.09530599521298,0.2413346856787173
31,51,353,132.914984428712,"KMeans",1463,0.6178258115044954,144.51706571039458,0.23625016620838846
32,52,353,130.39228640642284,"KMeans",1463,0.6033267997746382,141.94892401876336,0.23111917469144116
33,53,353,128.05138724091273,"KMeans",1463,0.5972256890343268,139.42209915006327,0.22579805002566866
34,54,353,126.49899479043783,"KMeans",1463,0.6416843643147438,137.07244381194954,0.21966162064049854
35,55,353,122.59584724710871,"KMeans",1463,0.6434250301161445,134.4403353456148,0.21482499358412088
36,56,353,121.52241163918399,"KMeans",1463,0.6302611528465969,132.09162194444556,0.2086842295617607
37,57,353,119.31371347562468,"KMeans",1463,0.6261986009849493,129.7683658592054,0.20242631520462528
38,58,353,117.64129118043252,"KMeans",1463,0.6284772803398937,127.56344319033758,0.19562385014223316
39,59,353,115.94814583941174,"KMeans",1463,0.6402955632438989,125.4515709447147,0.18839318250481318
40,60,353,113.33017850662472,"KMeans",1463,0.6255667591085118,123.24768141051652,0.18158596312846464
41,61,353,110.86043890985421,"KMeans",1463,0.6350740945876421,120.9954555013052,0.17500117971238716
42,62,353,109.97270007542402,"KMeans",1463,0.6303667913695704,118.99131815114497,0.16727473400057824
43,63,353,106.54278773680706,"KMeans",1463,0.6410582844702898,116.7279489849017,0.16074123000042273
44,64,353,108.48531814320205,"KMeans",1463,0.6237183164776718,115.2292888318654,0.1506886622799417
45,65,353,105.97037404515328,"KMeans",1463,0.6448819623697216,113.54584977973592,0.14148641632741488
46,66,353,104.41015394994855,"KMeans",1463,0.6190899882726,111.88481417432001,0.13218107343843444
47,67,353,102.48298747677934,"KMeans",1463,0.6169812278380437,110.17539113840353,0.12309840145858886
48,68,353,100.9331879047009,"KMeans",1463,0.643705405473977,108.49499055045757,0.1138821729991355
49,69,353,98.24565646993744,"KMeans",1463,0.6421970954642454,106.63147526309027,0.10550860793747541
50,70,353,97.58597027898072,"KMeans",1463,0.6391192011628252,104.9868379932522,0.0961278026349377
51,71,353,96.97569774625852,"KMeans",1463,0.6204829008733481,103.53026703925333,0.0858815474192236
52,72,353,95.38325657001916,"KMeans",1463,0.6285568293236791,102.04899240848346,0.07574897441619732
53,73,353,93.92548760691984,"KMeans",1463,0.6442657812432313,100.57199153547191,0.0655967342906223
54,74,353,91.8577320388683,"KMeans",1463,0.6489421139038547,98.9875807179076,0.05593877686938298
55,75,353,92.52668906374846,"KMeans",1463,0.6220556140733311,97.81287314442412,0.04439543324575279
56,76,353,90.58768305289018,"KMeans",1463,0.6381195808601838,96.49920221869068,0.033491575861871015
57,77,353,89.76582622590851,"KMeans",1463,0.6551061070747488,95.27495203818484,0.022176219077642112
58,78,353,88.37508732276758,"KMeans",1463,0.6428665013853683,94.02043118083624,0.011000162914730716
59,79,353,86.91034312303411,"KMeans",1463,0.6261350066761462,92.72768789759948,0.0
